Country,N,GEN (%),AMK (%),CHL (%),AMP (%),CTX (%),CAZ (%),MEM (%),TGC (%),NAL (%),CIP (%),AZM (%),COL (%),SMX (%),TMP (%),TET (%),CS (%),MDR (%),Resistance to both CIP/CTX. applying ECOFFs,"Resistance to both CIP/CTX, applying CBPs"
Austria,181,0.0,0.0,2.8,6.6,1.1,1.1,0.0,0.0,1.7,2.8,0.0,0.0,9.4,5.5,13.3,84.0,6.6,0.6,0.6
Belgium,171,8.2,0.0,29.2,42.7,0.0,0.0,0.0,1.8,8.8,17.5,3.5,1.2,36.3,37.4,47.4,44.4,41.5,0.0,0.0
Croatia,86,1.2,0.0,12.8,14.0,0.0,0.0,0.0,0.0,4.7,7.0,0.0,0.0,23.3,9.3,30.2,62.8,17.4,0.0,0.0
Denmark,168,0.6,0.0,10.1,11.9,0.6,0.6,0.0,0.0,0.0,0.6,0.0,0.0,14.9,4.8,15.5,81.5,13.7,0.0,0.0
France,190,3.2,0.0,20.5,42.6,0.5,0.0,0.0,0.5,3.2,6.3,5.3,0.0,53.2,39.5,61.1,36.8,47.4,0.0,0.0
Germany,188,2.1,0.0,13.8,40.4,2.7,1.6,0.0,0.5,6.9,10.6,2.1,0.5,21.8,21.8,38.3,52.1,28.2,0.5,0.5
Italy,170,9.4,0.0,46.5,70.6,10.6,10.0,0.0,0.0,7.6,41.8,0.0,0.6,66.5,60.0,81.8,14.1,72.4,8.2,0.0
Netherlands,299,2.3,0.0,16.4,25.8,0.3,0.3,0.0,0.0,2.3,4.3,1.7,0.0,26.4,20.7,43.1,54.8,28.1,0.0,0.0
Portugal,171,1.8,0.0,9.4,12.9,3.5,3.5,0.0,0.0,3.5,6.4,0.0,0.0,17.5,7.6,22.8,74.9,14.0,1.8,0.6
Romania,170,1.8,0.0,5.9,11.8,0.6,0.6,0.0,0.6,2.4,2.9,0.0,0.0,13.5,5.9,17.1,80.0,9.4,0.6,0.6
Spain,170,1.2,0.0,20.0,14.7,0.0,0.0,0.0,0.0,2.4,5.3,1.2,0.0,25.9,7.6,31.8,64.1,22.9,0.0,0.0
Total (11 MSs),1964,2.9,0.0,17.1,27.4,1.8,1.6,0.0,0.3,3.8,9.3,1.4,0.2,28.3,20.7,37.4,58.5,28.0,1.0,0.2
Median (MSs),171,1.8,0.0,13.8,14.7,0.6,0.6,0.0,0.0,3.2,6.3,0.0,0.0,23.3,9.3,31.8,62.8,22.9,0.0,0.0
Republic of North Macedonia,20,0.0,0.0,5.0,30.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,45.0,0.0,40.0,45.0,25.0,0.0,0.0
Switzerland,190,2.1,0.0,9.5,23.7,3.2,3.2,0.0,0.0,2.6,2.6,1.1,0.0,26.3,6.8,26.8,66.3,21.1,2.6,1.6
Total (2 non-MSs),210,1.9,0.0,9.0,24.3,2.9,2.9,0.0,0.0,3.8,2.4,1.0,0.0,28.1,6.2,28.1,64.3,21.4,2.4,1.4
Total (11 MSs and 2 non-MSs),2174,2.8,0.0,16.3,27.1,1.9,1.7,0.0,0.3,3.8,8.6,1.3,0.2,28.2,19.3,36.5,59.0,27.4,1.1,0.3
Median (MSs and non-MSs),171,1.8,0.0,12.8,23.7,0.6,0.6,0.0,0.0,3.2,5.3,0.0,0.0,25.9,7.6,31.8,62.8,22.9,0.0,0.0
