Country,N,GEN (%),AMK (%),CHL (%),AMP (%),CTX (%),CAZ (%),MEM (%),TGC (%),NAL (%),CIP (%),AZM (%),COL (%),SMX (%),TMP (%),TET (%),CS (%),MDR (%),"Resistance to both CIP/CTX, applying ECOFFs","Resistance to both CIP/CTX, applying CBPs"
France,54,0.0,0.0,3.7,9.3,1.9,1.9,0.0,0.0,0.0,5.6,0.0,0.0,3.7,0.0,9.3,88.9,9.3,1.9,0.0
Ireland,42,2.4,0.0,2.4,14.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.3,11.9,16.7,78.6,14.3,0.0,0.0
Italy,21,0.0,0.0,0.0,4.8,0.0,4.8,0.0,0.0,0.0,0.0,0.0,4.8,4.8,4.8,9.5,85.7,9.5,0.0,0.0
Netherlands,180,1.1,2.2,0.0,0.6,0.0,0.6,0.0,2.8,0.6,0.6,0.0,0.0,1.7,0.6,4.4,90.0,0.6,0.0,0.0
Portugal,8,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.5,0.0,0.0,0.0
Romania,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
Sweden,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
United Kingdom (Northern Ireland),38,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.6,7.9,86.8,0.0,0.0,0.0
Total (7 MSs + XI),349,1.1,1.1,0.9,4.6,0.3,0.9,0.0,1.4,0.3,1.1,0.0,0.3,3.4,2.3,7.2,88.0,4.0,0.3,0.0
Median (MSs + XI),30,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.3,6.2,88.2,0.3,0.0,0.0
Montenegro,2,0.0,0.0,50.0,100,0.0,0.0,0.0,0.0,50.0,50.0,50.0,0.0,100,100,100,0.0,100,0.0,0.0
Switzerland,24,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,0.0,4.2,79.2,0.0,0.0,0.0
Total (2 non-MSs),26,0.0,0.0,3.8,23.1,0.0,0.0,0.0,0.0,3.8,3.8,3.8,0.0,11.5,7.7,11.5,73.1,7.7,0.0,0.0
"Total (7 MSs, XI, and 2 non-MSs)",375,1.1,1.1,1.1,5.9,0.3,0.8,0.0,1.3,0.5,1.3,0.3,0.3,4.0,2.7,7.5,86.9,4.3,0.3,0.0
"Median (MSs, XI, and non-MSs)",23,0.0,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.3,6.2,87.2,0.3,0.0,0.0
