Country,NP2,ESBL and/or AmpC(a),,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g),,Other Phenotype(h)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria*,194,194,100,182,93.81443298969072, -, -, -, -,13,6.701030927835052,1,0.5154639175257731,0,0, -, -
Belgium*,89,81,91.01123595505618,66,74.15730337078652, -, -, -, -,15,16.85393258426966,0,0,0,0, -, -
Bulgaria,223,221,99.10313901345292,204,91.4798206278027,100,44.84304932735427,6,2.690582959641256,13,5.829596412556054,4,1.79372197309417,0,0,0,0
Croatia,132,131,99.24242424242425,109,82.57575757575758,16,12.12121212121212,0,0,22,16.66666666666666,0,0,0,0,0,0
Cyprus,7,7,100,5,71.42857142857143,0,0,0,0,2,28.57142857142857,0,0,0,0,0,0
Czechia*,136,136,100,81,59.55882352941176, -, -, -, -,55,40.44117647058824,0,0,0,0,-,-
Denmark,54,51,94.44444444444444,5,9.25925925925926,2,3.703703703703703,1,1.851851851851852,43,79.62962962962963,3,5.555555555555555,0,0,0,0
Estonia,27,27,100,17,62.96296296296296,2,7.407407407407407,0,0,10,37.03703703703704,0,0,0,0,0,0
Finland*,19,19,100,0,0, -, -, -, -,19,100,0,0,0,0,-,-
France,20,20,100,13,65,3,15,0,0,7,35,0,0,0,0,0,0
Germany*,154,154,100,118,76.62337662337663, -, -, -, -,36,23.37662337662337,0,0,0,0,-,-
Greece,32,32,100,28,87.5,2,6.25,0,0,3,9.375,1,3.125,0,0,0,0
Hungary,211,206,97.6303317535545,178,84.36018957345972,59,27.96208530805687,9,4.265402843601896,26,12.32227488151659,2,0.9478672985781991,0,0,2,0.9478672985781991
Ireland,110,106,96.36363636363636,65,59.09090909090909,27,24.54545454545455,0,0,38,34.54545454545455,3,2.727272727272727,0,0,2,1.818181818181818
Italy*,214,213,99.53271028037383,169,78.97196261682244, -, -, -, -,44,20.5607476635514,0,0,1,0.4672897196261682,-,-
Latvia,85,85,100,79,92.94117647058823,18,21.17647058823529,0,0,6,7.058823529411764,0,0,0,0,0,0
Lithuania,47,47,100,41,87.2340425531915,9,19.14893617021277,0,0,5,10.63829787234043,1,2.127659574468085,0,0,0,0
Luxembourg,38,36,94.73684210526315,33,86.8421052631579,3,7.894736842105263,0,0,3,7.894736842105263,0,0,0,0,1,2.631578947368421
Malta,55,55,100,50,90.9090909090909,3,5.454545454545454,0,0,1,1.818181818181818,4,7.272727272727272,0,0,0,0
Netherlands*,46,43,93.47826086956522,23,50, -, -, -, -,20,43.47826086956522,0,0,0,0,-,-
Poland,147,145,98.63945578231292,94,63.94557823129252,20,13.60544217687075,0,0,45,30.61224489795918,6,4.081632653061225,0,0,0,0
Portugal,230,228,99.1304347826087,183,79.56521739130434,43,18.69565217391304,0,0,26,11.30434782608696,19,8.26086956521739,2,0.8695652173913043,0,0
Romania,222,221,99.54954954954955,152,68.46846846846847,22,9.90990990990991,6,2.702702702702703,51,22.97297297297298,18,8.108108108108109,0,0,1,0.4504504504504505
Slovakia,89,86,96.62921348314607,56,62.92134831460674,37,41.57303370786517,4,4.49438202247191,28,31.46067415730337,2,2.247191011235955,0,0,2,2.247191011235955
Slovenia,81,80,98.76543209876543,33,40.74074074074074,18,22.22222222222222,0,0,47,58.0246913580247,0,0,0,0,1,1.234567901234568
Spain,339,338,99.70501474926253,265,78.17109144542773,66,19.46902654867257,0,0,57,16.8141592920354,16,4.71976401179941,1,0.2949852507374631,0,0
Sweden*,10,10,100,2,20, -, -, -, -,8,80,0,0,0,0,-,-
United Kingdom (Northern Ireland),109,109,100,69,63.30275229357798,28,25.68807339449542,2,1.834862385321101,40,36.69724770642202,0,0,0,0,0,0
Total (27 MSs + XI),3120,3081,98.75,2320,74.35897435897436,478,15.32051282051282,28,0.8974358974358974,683,21.89102564102564,80,2.564102564102564,4,0.1282051282051282,9,0.2884615384615385
Iceland,2,2,100,2,100,0,0,0,0,0,0,0,0,0,0,0,0
Norway*,66,65,98.48484848484848,6,9.090909090909092, -, -, -, -,59,89.39393939393939,0,0,0,0, -, -
Switzerland,19,19,100,12,63.1578947368421,1,5.263157894736842,0,0,6,31.57894736842105,1,5.263157894736842,0,0,0,0
Total (3 non-MSs),87,86,98.85057471264368,20,22.98850574712644,1,1.149425287356322,0,0,65,74.71264367816092,1,1.149425287356322,0,0,0,0
Total (30 MSs and non-MSs),3207,3167,98.75272840661053,2340,72.96538821328345,479,14.93607733083879,28,0.8730901153726224,748,23.32397879638291,81,2.525724976613658,4,0.1247271593389461,9,0.2806361085126286

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
