Country,NP2,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,n,%,n,%,n,%,n,%,n,%,n,%,n,%
Austria,25,25,100,23,92,4,16,0,0,2,8,0,0,0,0
Croatia,11,11,100,10,90.9090909090909,2,18.18181818181818,0,0,1,9.090909090909092,0,0,0,0
France,9,8,88.88888888888889,5,55.55555555555556,2,22.22222222222222,0,0,3,33.33333333333333,0,0,0,0
Germany*,133,133,100,123,92.4812030075188,,,,,10,7.518796992481203,0,0,0,0
Hungary,58,57,98.27586206896551,41,70.6896551724138,19,32.75862068965517,0,0,15,25.86206896551724,1,1.724137931034483,0,0
Ireland,14,14,100,13,92.85714285714286,1,7.142857142857142,0,0,1,7.142857142857142,0,0,0,0
Italy*,120,116,96.66666666666667,106,88.33333333333333,,,,,10,8.333333333333332,0,0,0,0
Poland,91,90,98.9010989010989,77,84.61538461538461,8,8.791208791208792,2,2.197802197802198,10,10.98901098901099,3,3.296703296703297,0,0
Portugal,140,140,100,129,92.14285714285714,7,5,0,0,0,0,11,7.857142857142857,0,0
Romania,70,70,100,33,47.14285714285714,19,27.14285714285714,0,0,1,1.428571428571429,36,51.42857142857142,0,0
Spain,357,357,100,348,97.47899159663865,14,3.92156862745098,1,0.2801120448179272,3,0.8403361344537815,6,1.680672268907563,0,0
Total (11MSs),1028,1021,99.31906614785993,908,88.32684824902724,76,7.392996108949417,3,0.2918287937743191,56,5.447470817120623,57,5.544747081712062,0,0
Norway*,11,11,100,2,18.18181818181818,,,,,9,81.81818181818183,0,0,0,0
Total MSs and non-MSs,1039,1032,99.32627526467758,910,87.58421559191531,76,7.314725697786333,3,0.2887391722810395,65,6.256015399422522,57,5.48604427333975,0,0

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
