Country,Ns,ESBL and/or AmpC,,ESBL(b),,ESBL only CLA/CTX SYN (c),,ESBL only CLA/CAZ SYN(d),,AmpC(e),,ESBL + AmpC(f),,CP(g)
,,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI
Austria*,276,27.89855072463768,22.7 - 33.6 ,23.91304347826087,19.0 - 29.4 ,,,,,3.985507246376812,2.0 - 7.0 ,0,0 - 1.3 ,0,0 - 1.3
Belgium*,312,65.32663316582914,59.8 - 70.7 ,60.30150753768844,54.6 - 65.7 ,,,,,5.025125628140703,3.0 - 8.2 ,0,0 - 1.2 ,0,0 - 1.2 
Croatia,297,28.28282828282828,23.2 - 33.8 ,24.91582491582491,20.1 - 30.2 ,1.683501683501683,0.6 - 3.9,0,0 - 1.2,3.03030303030303,1.4 - 5.7 ,0.3367003367003367,0 - 1.9 ,0,0 - 1.2 
Denmark,309,4.207119741100324,2.3 - 7.1 ,0.6472491909385114,0.1 - 2.3 ,0,0 - 1.2,0,0 - 1.2,3.559870550161812,1.8 - 6.3 ,0,0 - 1.2 ,0,0 - 1.2 
France,280,14.64285714285714,10.7 - 19.3 ,8.214285714285714,5.3 - 12.1 ,1.071428571428571,0.2 - 3.1,0,0 - 1.3,6.42857142857143,3.9 - 10.0 ,0,0 - 1.3 ,0,0 - 1.3 
Germany*,342,65.49445362284636,60.2 - 70.5 ,64.60939343875384,59.3 - 69.7 ,,,,,0.8850601840925183,0.2 - 2.5 ,0,0 - 1.1 ,0.2950200613641728,0 - 1.6 
Italy*,301,88.70431893687709,84.6 - 92 ,84.71760797342192,80.1 - 88.6 ,,,,,3.986710963455149,2.1 - 6.9 ,0,0 - 1.2 ,0.3322259136212624,0 - 1.8 
Netherlands*,307,31.92182410423452,26.7 - 37.5 ,29.96742671009772,24.9 - 35.4 ,,,,,1.954397394136808,0.7 - 4.2 ,0,0 - 1.2 ,0,0 - 1.2 
Portugal,325,54.14673188083592,48.6 - 59.7 ,48.4802134281903,43.1 - 54.2 ,6.296131614050688,3.8 - 9.3,0,0 - 1.1,3.148065807025344,1.5 - 5.6 ,2.518452645620275,1.1 - 4.8 ,0.3148065807025344,0 - 1.7 
Romania,284,23.94366197183098,19.1 - 29.3 ,21.12676056338028,16.5 - 26.3 ,3.873239436619718,2.0 - 6.8,0.704225352112676,0.1 - 2.5,1.408450704225352,0.4 - 3.6 ,1.408450704225352,0.4 - 3.6 ,0,0 - 1.3 
Spain,394,43.90862944162436,38.9 - 49 ,34.51776649746193,29.8 - 39.4 ,19.28934010152284,15.5 - 23.5,0.2538071065989848,0 - 1.4,6.345177664974619,4.1 - 9.2 ,3.045685279187817,1.6 - 5.3 ,0,0 - 0.9 
Sweden,14,0,0 - 23.2 ,0,0 - 23.2 ,0,0 - 23.2,0,0 - 23.2,0,0 - 23.2 ,0,0 - 23.2 ,0,0 - 23.2 
Total (14 MSs),3441,41.40688533477908,0 - 0.1 ,37.03126411855065,35.4 - 38.7 ,6.086565324723931,5.1 - 7.3,0.1587799649927982,0 - 0.5,3.641456582633054,3.0 - 4.3 ,0.7341646335953737,0.5 - 1.1 ,0.08809975603144483,0 - 0.3 
Switzerland,306,31.69934640522876,26.5 - 37.2 ,16.01307189542484,12.1 - 20.6 ,1.96078431372549,0.7 - 4.2,0,0 - 1.2,13.72549019607843,10.1 - 18.1 ,1.96078431372549,0.7 - 4.2 ,0,0 - 1.2 
Total MSs and non-MSs,3747,40.6,39.0 - 42.2,35.3,33.8 - 36.9,5.5,4.6 - 6.6,0.1,0 - 0.4,4.5,3.8 - 5.2,0.8,0.6 - 1.2,0.1,0 - 0.2

"*Countries using WGS to identify ESBL-, AmpC- and/or CP-encoding genes"
