"Source: Annex E - ESBL-, AmpC- and or CP-producers.pdf"
Page: 20
Table 6: Prevalence of presumptive ESBL- and AmpC-producing E. coli isolates from broilers collected within the specific ESBLs/AmpC/Carbapenemase-

-- Table 1 (auto-detected) --
"N
s","ESBL and/or
AmpC(a)",,ESBL(b),,"ESBL only
CTX/CLA SYN(c)",,"ESBL only
CAZ/CLA SYN(d)",,AmpC(e),,AmpC + ESBL(f)
,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P,95% CI,%P
314,36.3,30.7-41.6,24.7,19.9-29.7,6.8,4.2-10,0,0-1.2,14.1,10.4-18.4,2.6,1.1-5,0
273,78.2,54.7-82.8,67.3,46.3-72.9,15.6,8.5-16.6,3.3,1-5.2,13.2,6.9-14.5,2.4,0.6-4.2,0
425,62.6,33.7-67.2,40.3,20.7-45.1,25.7,12.4-30.1,0.4,0-1.3,24.2,11.6-28.6,1.9,0.4-2.7,0
300,57.4,27.7-63,36,16.2-41.7,14.5,5.5-19.2,0.6,0-1.8,22,9.1-27.1,0.6,0-1.8,0
150,31.3,24-39.4,24.7,18-32.4,3.3,1.1-7.6,0,0-2.4,12.7,7.8-19.1,6,2.8-11.1,0
316,44.6,39.1-50.3,23.7,19.2-28.8,4.1,2.2-6.9,0.6,0.1-2.3,20.9,16.5-25.8,0,0-1.2,0
837,14.6,12.3-17.2,2.3,1.4-3.5,1.1,0.5-2,0,0-0.4,12.4,10.3-14.9,0.1,0-0.7,0
85,78.8,68.6-86.9,61.2,50-71.6,8.2,3.4-16.2,2.4,0.3-8.2,18.8,11.2-28.8,1.1,0-6.4,0
289,13.1,9.5-17.6,1.7,0.6-4,0,0-1.3,0,0-1.3,11.4,8-15.7,0,0-1.3,0
301,24.9,20.1-30.2,21.9,17.4-27,3,1.4-5.6,0,0-1.2,9.3,6.3-13.2,6.3,3.8-9.7,0
575,46.8,28.2-51,39.7,23.5-43.8,2,0.6-2.7,0.5,0-1.3,10.9,5.5-13.8,3.8,1.5-4.3,0
378,45,39.9-50.1,33.9,29.1-38.9,16.1,12.6-20.2,0.3,0-1.5,12.4,9.3-16.2,1.3,0.4-3.1,0
300,69,63.4-74.2,26.4,21.4-31.7,10.4,7.1-14.3,0.3,0-1.8,45,39.3-50.8,2.3,0.9-4.7,0
298,53,47.2-58.8,16.8,12.7-21.5,7.1,4.4-10.6,1,0.2-2.9,36.3,30.8-42,0,0-1.2,0
512,79.9,76.1-83.3,63.7,59.3-67.8,20.5,17.1-24.3,0,0-0.7,19.9,16.5-23.6,3.7,2.2-5.7,0
200,38.5,31.2-45.1,36,28.9-42.6,6.6,3.5-10.9,0,0-1.8,2.5,0.8-5.7,0,0-1.8,0
150,94,88.9-97.2,60,51.7-67.9,17.3,11.6-24.4,1.3,0.2-4.7,38,30.2-46.3,4,1.5-8.5,0
15,33.3,0.2-61.6,33.3,0.2-61.6,0,0-21.8,0,0-21.8,33.3,0.2-61.6,33.3,0.2-61.6,0
85,100,95.8-100,81.2,71.2-88.8,22.4,14-32.7,9.4,4.2-17.7,18.8,11.2-28.8,0,0-4.2,0
296,23,18-27.8,19.9,15.2-24.6,3.1,1.4-5.7,0.3,0-1.9,4.5,2.4-7.4,1.4,0.4-3.4,0
315,44.1,38.6-49.8,25.1,20.4-30.2,7.6,4.9-11.1,1,0.2-2.8,24.5,19.8-29.6,5.4,3.2-8.5,0
364,85.4,59.1-88.9,76.6,52.4-80.9,8.4,4-9.3,0.3,0-1.5,22.3,13.1-26.9,13.5,7.3-13.7,0
838,65.5,62.2-68.7,38.8,35.5-42.2,20.9,18.2-23.8,0.3,0.1-1,29.9,26.9-33.2,3.2,2.1-4.7,0
425,23.8,19.8-28.1,12.2,9.3-15.7,5.7,3.7-8.3,0.9,0.3-2.4,11.8,8.9-15.2,0.2,0-1.3,0
150,82.7,75.6-88.4,48,39.8-56.3,10,5.7-16,2.7,0.7-6.7,35.3,27.7-43.5,0.7,0-3.7,0
256,91,86.8-94.2,75.4,69.6-80.5,12.1,8.4-16.7,1.6,0.4-4,20.7,15.9-26.2,5.1,2.7-8.5,0
300,14,10.3-18.4,5.3,3.1-8.5,2.3,0.9-4.7,0.7,0.1-2.4,9.3,6.3-13.2,0.7,0.1-2.4,0
302,10.3,7.1-14.3,4,2.1-6.8,0.7,0.1-2.4,0,0-1.2,6.3,3.8-9.7,0,0-1.2,0
"9,049",48.3,43-49.3,31.9,28.1-32.9,9.5,8.1-10.1,0.6,0.4-0.8,18.9,16.4-19.7,2.5,2-2.6,0
156,0.6,0-3.5,0,0-2.3,0,0-2.3,0,0-2.3,0.6,0-3.5,0,0-2.3,0
279,0.4,0-2,0,0-1.3,0,0-1.3,0,0-1.3,0.4,0-2,0,0-1.3,0
307,30.3,25.2-35.8,19.2,15-24.1,6.5,4-9.9,0.6,0.1-2.3,11.4,8.1-15.5,0.3,0-1.8,0
